LUX detector acceptance from arXiv:1608.07648v3
1.22833   0.00511
1.25399   0.00581
1.27817   0.00648
1.32794   0.00804
1.34707   0.00885
1.37356   0.01001
1.41220   0.01154
1.43720   0.01298
1.46441   0.01447
1.49262   0.01630
1.52421   0.01853
1.55440   0.02092
1.58772   0.02368
1.61489   0.02630
1.64674   0.02936
1.68585   0.03293
1.71838   0.03639
1.75154   0.04006
1.78911   0.04316
1.84546   0.05145
1.89151   0.05891
1.95051   0.06671
2.01210   0.07705
2.08461   0.08625
2.14272   0.09801
2.21447   0.10794
2.28295   0.12284
2.35260   0.13660
2.41379   0.15183
2.50216   0.17007
2.60624   0.19326
2.72564   0.21648
2.83454   0.24180
2.99235   0.28647
3.11570   0.30190
3.26416   0.33006
3.44308   0.36926
3.62997   0.40564
3.82709   0.43996
4.03793   0.47538
4.25410   0.51171
4.49066   0.54460
4.72899   0.57711
4.98595   0.61358
5.25697   0.64562
5.54276   0.67592
5.84408   0.70865
6.15452   0.73111
6.49698   0.76168
6.86409   0.78840
7.22291   0.81293
7.64818   0.84136
8.03003   0.86284
8.90933   0.89003
9.43428   0.88892
9.89219   0.91498
10.48548   0.92820
11.05790   0.93655
11.63645   0.94190
12.26968   0.95620
12.93764   0.95874
13.64174   0.97118
14.38421   0.98125
15.16716   0.98874
15.99276   1
16.86350   1
17.86139   1
18.74912   1
19.74722   1
20.80527   0.99065
21.95616   0.98644
23.17912   0.98530
24.44105   0.982
25.77223   0.98
27.17499   0.97
28.65450   0.96
30.21630   0.95093
31.55694   0.93006
34.70020   0.90486
36.37791   0.85698
37.72748   0.78788
39.51015   0.71319
40.37420   0.64565
41.36602   0.58205
42.48487   0.52176
42.83493   0.46991
44.52061   0.40562
44.89590   0.35772
45.69525   0.30322
46.67338   0.25916
47.01040   0.23077
48.01113   0.20703
48.63453   0.18841
49.00266   0.16271
49.63448   0.13795
50.26655   0.11616
51.25060   0.09161
51.92693   0.08065
52.20022   0.06855
52.81597   0.06040
54.19892   0.04389
54.59460   0.03531
55.27991   0.03092
55.74284   0.02591
56.24093   0.02278
57.26125   0.01790
57.75091   0.01595
57.90085   0.01428
58.61308   0.01283
58.83609   0.01149
59.18120   0.00925
59.63788   0.00808
59.87422   0.00596
61.55653   0.00352
62.07409   0.00396
62.77097   0.00234
63.22209   0.00195
64.11797   0.00169
64.30266   0.00133
64.56208   0.00156
65.26950   0.00118
